Fecha,Nivel
2010-1-1,43.90
2010-1-2,43.90
2010-1-3,44.00
2010-1-4,44.00
2010-1-5,44.00
2010-1-6,44.00
2010-1-7,43.90
2010-1-8,
2010-1-9,
2010-1-10,44.00
2010-1-11,44.00
2010-1-12,43.90
2010-1-13,43.90
2010-1-14,43.80
2010-1-15,
2010-1-16,
2010-1-17,43.70
2010-1-18,43.70
2010-1-19,43.60
2010-1-20,43.60
2010-1-21,43.50
2010-1-22,43.40
2010-1-23,43.30
2010-1-24,43.30
2010-1-25,43.20
2010-1-26,43.10
2010-1-27,43.10
2010-1-28,43.00
2010-1-29,
2010-1-30,
2010-1-31,
2010-2-1,42.80
2010-2-2,42.70
2010-2-3,42.70
2010-2-4,42.60
2010-2-5,42.60
2010-2-6,42.50
2010-2-7,42.50
2010-2-8,42.60
2010-2-9,42.60
2010-2-10,42.60
2010-2-11,42.60
2010-2-12,41.60
2010-2-13,41.60
2010-2-14,41.60
2010-2-15,41.60
2010-2-16,42.70
2010-2-17,42.80
2010-2-18,42.80
2010-2-19,42.80
2010-2-20,43.10
2010-2-21,43.40
2010-2-22,43.60
2010-2-23,43.80
2010-2-24,43.90
2010-2-25,44.00
2010-2-26,44.00
2010-2-27,44.20
2010-2-28,44.20
2010-3-1,44.40
2010-3-2,44.50
2010-3-3,44.90
2010-3-4,45.10
2010-3-5,45.20
2010-3-6,45.40
2010-3-7,45.50
2010-3-8,45.60
2010-3-9,45.60
2010-3-10,45.70
2010-3-11,45.70
2010-3-12,45.70
2010-3-13,45.90
2010-3-14,46.00
2010-3-15,46.00
2010-3-16,46.10
2010-3-17,46.20
2010-3-18,46.40
2010-3-19,46.50
2010-3-20,46.60
2010-3-21,46.60
2010-3-22,46.60
2010-3-23,46.60
2010-3-24,46.60
2010-3-25,46.50
2010-3-26,46.50
2010-3-27,46.50
2010-3-28,46.60
2010-3-29,46.60
2010-3-30,46.60
2010-3-31,46.90
2010-4-1,46.90
2010-4-2,46.80
2010-4-3,46.80
2010-4-4,46.70
2010-4-5,46.60
2010-4-6,46.60
2010-4-7,46.60
2010-4-8,46.50
2010-4-9,46.50
2010-4-10,46.50
2010-4-11,46.40
2010-4-12,46.30
2010-4-13,46.30
2010-4-14,46.30
2010-4-15,46.20
2010-4-16,46.20
2010-4-17,46.30
2010-4-18,46.30
2010-4-19,46.40
2010-4-20,46.40
2010-4-21,46.50
2010-4-22,46.70
2010-4-23,46.70
2010-4-24,46.60
2010-4-25,46.60
2010-4-26,46.60
2010-4-27,46.50
2010-4-28,46.50
2010-4-29,46.50
2010-4-30,46.50
2010-5-1,46.50
2010-5-2,46.50
2010-5-3,46.50
2010-5-4,46.50
2010-5-5,46.50
2010-5-6,46.50
2010-5-7,46.60
2010-5-8,46.60
2010-5-9,46.60
2010-5-10,46.60
2010-5-11,46.50
2010-5-12,46.40
2010-5-13,46.40
2010-5-14,46.40
2010-5-15,46.40
2010-5-16,46.40
2010-5-17,46.40
2010-5-18,46.20
2010-5-19,46.20
2010-5-20,46.20
2010-5-21,46.10
2010-5-22,46.10
2010-5-23,46.10
2010-5-24,46.10
2010-5-25,46.00
2010-5-26,46.00
2010-5-27,46.00
2010-5-28,46.00
2010-5-29,46.00
2010-5-30,46.10
2010-5-31,46.10
2010-6-1,46.10
2010-6-2,46.20
2010-6-3,46.30
2010-6-4,46.50
2010-6-5,46.60
2010-6-6,46.50
2010-6-7,46.50
2010-6-8,46.40
2010-6-9,46.40
2010-6-10,46.40
2010-6-11,46.30
2010-6-12,46.40
2010-6-13,46.40
2010-6-14,46.30
2010-6-15,46.30
2010-6-16,46.30
2010-6-17,46.20
2010-6-18,46.20
2010-6-19,46.10
2010-6-20,46.10
2010-6-21,46.10
2010-6-22,46.10
2010-6-23,46.00
2010-6-24,46.00
2010-6-25,45.90
2010-6-26,45.90
2010-6-27,45.90
2010-6-28,45.90
2010-6-29,45.80
2010-6-30,45.80
2010-7-1,45.80
2010-7-2,45.80
2010-7-3,45.60
2010-7-4,45.60
2010-7-5,45.60
2010-7-6,45.60
2010-7-7,45.50
2010-7-8,45.50
2010-7-9,45.40
2010-7-10,45.40
2010-7-11,45.40
2010-7-12,45.40
2010-7-13,45.40
2010-7-14,45.30
2010-7-15,45.30
2010-7-16,45.40
2010-7-17,45.50
2010-7-18,45.50
2010-7-19,45.50
2010-7-20,45.60
2010-7-21,45.70
2010-7-22,45.70
2010-7-23,45.60
2010-7-24,45.60
2010-7-25,45.60
2010-7-26,45.50
2010-7-27,45.50
2010-7-28,45.50
2010-7-29,45.40
2010-7-30,45.40
2010-7-31,45.30
2010-8-1,45.30
2010-8-2,45.30
2010-8-3,45.30
2010-8-4,45.30
2010-8-5,45.30
2010-8-6,45.20
2010-8-7,45.20
2010-8-8,45.30
2010-8-9,45.30
2010-8-10,45.30
2010-8-11,45.30
2010-8-12,45.30
2010-8-13,45.20
2010-8-14,45.20
2010-8-15,45.20
2010-8-16,45.20
2010-8-17,45.10
2010-8-18,45.10
2010-8-19,45.10
2010-8-20,45.00
2010-8-21,45.00
2010-8-22,45.00
2010-8-23,45.00
2010-8-24,45.00
2010-8-25,45.00
2010-8-26,45.00
2010-8-27,44.90
2010-8-28,44.90
2010-8-29,44.90
2010-8-30,44.80
2010-8-31,44.80
2010-9-1,44.80
2010-9-2,44.70
2010-9-3,44.70
2010-9-4,44.70
2010-9-5,44.60
2010-9-6,44.60
2010-9-7,44.60
2010-9-8,44.60
2010-9-9,44.60
2010-9-10,44.60
2010-9-11,44.60
2010-9-12,44.70
2010-9-13,44.70
2010-9-14,44.70
2010-9-15,44.60
2010-9-16,44.60
2010-9-17,44.60
2010-9-18,44.60
2010-9-19,44.60
2010-9-20,44.60
2010-9-21,44.50
2010-9-22,44.50
2010-9-23,44.50
2010-9-24,44.40
2010-9-25,44.40
